GEO.id2,HD01_VD01
601,210
602,179
603,253
606,129
610,200
612,273
616,208
617,294
622,278
623,357
624,199
627,254
631,189
637,195
638,198
641,199
646,509
647,142
650,247
652,245
653,157
656,186
659,239
660,281
662,318
664,242
667,221
669,218
670,169
674,306
676,218
677,195
678,239
680,224
682,307
683,178
685,206
687,235
688,233
690,324
692,302
693,249
694,182
698,192
703,199
704,241
705,230
707,201
714,342
715,201
716,293
717,255
718,215
719,218
720,184
723,230
725,435
727,630
728,278
729,373
730,244
731,191
735,300
736,335
738,466
739,299
740,371
741,501
745,415
751,197
754,233
757,312
765,152
766,183
767,199
769,258
771,297
772,177
773,399
775,245
777,379
778,653
780,478
782,204
783,232
784,259
786,155
791,296
794,235
795,268
901,541
906,2400
907,781
909,493
911,740
912,581
913,206
915,333
917,403
918,604
920,631
921,567
923,362
924,453
925,468
926,653
927,547
934,
936,
949,536
950,
951,
952,293
953,638
956,488
957,512
959,630
960,
961,566
962,350
965,231
966,991
968,832
969,1047
971,284
976,602
979,822
982,557
983,605
985,496
987,657
1001,1141
1002,1349
1003,1215
1005,1265
1007,1338
1008,1296
1009,1102
1010,1262
1011,1066
1012,1115
1013,912
1020,985
1022,902
1026,984
1027,1089
1028,1397
1029,738
1030,1182
1031,858
1032,1106
1033,1177
1034,1252
1035,1067
1036,1302
1037,1000
1038,1203
1039,1157
1040,892
1050,1096
1053,1341
1054,1478
1056,1143
1057,1139
1060,1169
1062,1131
1063,
1066,
1068,1301
1069,1013
1070,1052
1071,1084
1072,1527
1073,1493
1074,1083
1075,1093
1077,1327
1079,682
1080,964
1081,1053
1082,1111
1083,1104
1084,1556
1085,1084
1086,
1088,902
1089,942
1092,921
1093,1458
1094,571
1095,1531
1096,1251
1097,
1098,1236
1103,828
1104,931
1105,725
1106,1793
1107,834
1108,1017
1109,985
1118,1150
1119,1047
1128,1189
1129,1203
1151,963
1199,
1201,931
1220,838
1222,1093
1223,1124
1224,721
1225,938
1226,1127
1229,963
1230,1082
1235,1031
1236,1195
1237,1214
1238,1066
1240,988
1242,1068
1243,1216
1244,1200
1245,1244
1247,806
1253,925
1254,1306
1255,1204
1256,985
1257,1057
1258,1147
1259,1419
1260,846
1262,981
1264,829
1266,1237
1267,1186
1270,1432
1301,968
1330,1201
1331,972
1337,1228
1338,539
