GEO.id2,totalPop,percent20_24,percent25_34,percent35_44,medianAge,popDrinking,percentDrinking
601,17599,6.9,12.6,11.6,38.9,12913,73.4
602,39209,7,12.5,12.6,40.9,29767,75.9
603,50135,6.4,12.5,12.8,40.4,37596,75
606,6304,7,10,13.3,42.8,4697,74.5
610,27590,7,11.6,13,41.4,20729,75.1
612,62566,6.9,11.5,12.4,41.4,46362,74.1
616,10687,8.4,12.7,12.6,43.7,8505,79.6
617,24508,7,13,14.2,38.7,17896,73
622,7405,5.8,8,11,48.4,5848,79
623,42321,6.6,11.4,13.9,41.3,31973,75.5
624,23238,7.2,13.1,11.9,37.2,16718,71.9
627,32936,7.2,11.9,13.1,40.1,24538,74.5
631,1555,8.6,14.1,10.4,48.2,1321,85
637,23610,6.8,11.3,12.5,40.9,17512,74.2
638,17202,7.2,12.3,11.5,40.3,12705,73.9
641,28332,7.2,11.9,11.4,41.9,21198,74.8
646,38008,6.4,11.4,15.1,39.4,27165,71.5
647,5610,7.3,11.5,9.1,47.1,4456,79.4
650,14664,7.8,11.4,12.7,38.6,10511,71.7
652,3681,4.3,11.4,14.8,38.8,2593,70.4
653,11717,6.5,11.6,13.6,38.7,8375,71.5
656,19546,6.6,12.5,12.3,40.3,14371,73.5
659,40978,6.7,12.6,13.3,40.7,31055,75.8
660,16474,5.8,10.2,12.7,45.1,12777,77.6
662,41341,6.7,12.3,13.5,40.6,30997,75
664,15396,7.3,13.2,12.4,36.3,11018,71.6
667,24089,6.8,11,11.7,43.6,18312,76
669,26510,6.9,12.6,12.4,40.9,19887,75
670,8797,7.4,12.6,11.5,40.1,6595,75
674,40826,6.8,11.9,12,41.1,30279,74.2
676,37862,7,13,13,38.6,27611,72.9
677,14569,5.8,10.3,13.2,44.6,11335,77.8
678,26642,7,12.4,13,39.3,19914,74.7
680,48035,10.8,11.9,9.4,41.6,36588,76.2
682,32820,11.6,10.9,10.9,37.3,23750,72.4
683,31627,7.7,11.1,10.8,42.9,23797,75.2
685,38849,6.2,11,12.3,42.6,29512,76
687,31785,7.6,13.7,12.7,37,22792,71.7
688,12360,7.8,14.3,13.6,40.7,9775,79.1
690,5587,9.5,9,12,41.9,4233,75.8
692,36218,7,13,13.4,37.6,26290,72.6
693,56327,7,12.8,12.5,40,41843,74.3
694,88,0,0,0,73.1,88,100
698,37493,6.4,11.5,12.4,42,28297,75.5
703,27137,6.6,13.1,13.3,40.2,20032,73.8
704,7842,9.3,12.4,13.9,36,5575,71.1
705,23831,7.4,12.6,11,40.6,17789,74.6
707,11240,6.6,11.2,12.1,43.5,8390,74.6
714,18363,6.9,12.3,13.3,38.8,13149,71.6
715,3645,6.1,11.4,12.9,41.3,2744,75.3
716,29191,6.2,12.4,12.2,42.2,22027,75.5
717,17285,9.2,11.7,9.9,36.9,12354,71.5
718,26073,7.1,13.3,14,36.9,18755,71.9
719,29684,7.3,13.3,11.5,39,22110,74.5
720,21753,7.9,12.6,11.9,37.5,15668,72
723,17826,7,11.5,11,43.3,13551,76
725,82822,6.8,12.5,12.1,40.4,61802,74.6
727,56023,7.4,12.4,14.4,38.8,41627,74.3
728,40326,8.7,14,11.8,37.7,29762,73.8
729,52244,7.5,12.4,13.8,38.9,38321,73.4
730,32735,7.6,11.6,10.3,41.3,24000,73.3
731,13862,6.3,13.3,12.1,39.8,10070,72.6
735,12749,8.2,12.2,12.5,40.7,9730,76.3
736,48476,7.3,12.5,12.7,41.3,36746,75.8
738,31558,7.3,11.6,12.6,40.7,23425,74.2
739,37380,6.8,12.6,12.9,38.5,27210,72.8
740,1517,10.5,11.2,13.2,36.5,1065,70.2
741,5168,5.2,17.3,11.3,41,3994,77.3
745,52624,7.2,12.6,13.1,40.1,39153,74.4
751,22174,6.3,12.1,12.2,39.5,16018,72.2
754,38636,7,12.8,12.7,40.1,29028,75.1
757,22475,7.3,12.1,15.4,37.2,15980,71.1
765,8721,6.3,14.5,11.6,41.3,6708,76.9
766,23931,7.8,12.2,11.7,37.8,17223,72
767,35042,7,11.6,12.4,41.6,26179,74.7
769,39605,6.3,12.6,13.9,39.4,29233,73.8
771,37705,6.6,13.4,14.5,38,27901,74
772,20784,7.6,13.4,12.3,37.2,15075,72.5
773,18952,7.2,11.4,12.9,39.8,13989,73.8
775,1480,4.7,21.4,9.1,39.1,1167,78.9
777,40611,7.4,13.3,15.2,37.7,29602,72.9
778,46852,6.8,12.8,15.5,38.3,34228,73.1
780,11679,6.2,13.7,14.3,38,8484,72.6
782,18196,8,13.7,11,37.7,13437,73.8
783,34240,7.4,13.1,12.3,37.9,24805,72.4
784,41417,7.4,13.8,12.9,37.6,30330,73.2
786,249,0,0,29.3,65.8,249,100
791,49551,6.9,11.1,13,41.3,36881,74.4
794,29296,8.2,13.8,11.4,35.4,20483,69.9
795,45573,7.5,12.2,13,37.8,32759,71.9
901,6540,8.3,15.5,15.1,41.3,5488,83.9
906,91,0,28.6,64.8,41.2,91,100
907,16819,4,14.3,11.1,48.6,14343,85.3
909,5430,6,13.4,14.7,38.7,4197,77.3
911,7617,6.5,10.9,13.3,47.8,6373,83.7
912,5920,8.8,13,14.8,42.4,4760,80.4
913,8495,7.4,13.7,8.5,26.2,4889,57.6
915,27534,8.3,12.4,13,38.9,20629,74.9
917,18316,5.8,13.1,10.9,45.9,14683,80.2
918,16595,6.7,13.7,10.9,42.3,12697,76.5
920,16698,7.2,13.3,10.7,45,13398,80.2
921,35161,7.6,15.1,11.1,38.7,26533,75.5
923,24754,5.9,12.3,12.2,39.3,17787,71.9
924,51699,7.5,11.7,11.6,38.2,37276,72.1
925,6796,20.5,13.1,12.4,34.6,5307,78.1
926,99106,6.6,12,12.4,43,76091,76.8
927,13503,7.2,12.2,12.1,45.9,10955,81.1
934,25,0,0,0,,25,100
936,749,4.5,4.4,12.1,72.1,740,98.8
949,76058,7.3,13.3,13.3,39,56725,74.6
950,0,,,,,0,
951,0,,,,,0,
952,8467,4.7,14.2,10.7,42.3,6418,75.8
953,72608,7.4,12.9,14.7,37.1,52431,72.2
956,68452,6.4,13.5,12.4,40.4,51559,75.3
957,40738,7.5,13.3,9.7,40.2,30445,74.7
959,47849,8,13,12,40.2,36572,76.4
960,2454,16.6,35.4,26.1,33.2,2270,92.5
961,31017,7.2,14,12.7,42.3,24426,78.8
962,19864,7.7,13.4,11.5,37.1,14328,72.1
965,7659,6.6,11.3,10.7,41.7,5741,75
966,16169,6.5,13,10.9,45.3,12969,80.2
968,3368,1,8.8,13.7,58.1,2983,88.6
969,43216,6.8,13.4,13.1,40.4,32927,76.2
971,27449,6.7,12.5,13.1,43.6,21467,78.2
976,60134,6.5,12.4,13.7,39.4,44186,73.5
979,15203,6.2,12.8,13.1,48.4,12860,84.6
982,14514,6.8,12.6,11.3,44.3,11326,78
983,36687,9,13.1,11,41.1,27590,75.2
